"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2017-10061-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","South West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2017-10062-15/08/2019","01",0,"SA","Motor Cars - Sedan","2011","South West","Female","020","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5095",,
"2017-10062-15/08/2019","02",0,"SA","Station Wagon","2016","South West","Male","034","SA","C ","Full","Not Towing","Straight Ahead","001","5045",,
"2017-10063-15/08/2019","01",2,"SA","Motor Cycle","2007","East","Male","060","TAS","C R ","Full","Not Towing","Straight Ahead","002","7277",,
"2017-10063-15/08/2019","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2017-10064-15/08/2019","01",0,"SA","Motor Cars - Sedan","1999","South","Female","037","SA","C ","Full","Not Towing","Straight Ahead","001","5606",,
"2017-10064-15/08/2019","02",0,"SA","Utility","2002","East","Male","031","SA","C ","Full","Not Towing","Straight Ahead","001","5606",,
"2017-10065-15/08/2019","01",1,"SA","Motor Cars - Sedan","2004","North","Male","020","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","002","5606","Y",
"2017-10066-15/08/2019","01",0,"SA","Taxi Cab","2016","East","Male","036","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5085",,
"2017-10066-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2008","South","Male","050","SA","HR","Full","Not Towing","Straight Ahead","001","5256",,
"2017-10067-15/08/2019","01",0,,"Pedestrian on Road",,"North East","Male","040",,,,,"Crossing without Control",,"5007",,
"2017-10067-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Right Turn","001","XXXX",,
